Sex	Equipment	Age	Division	BodyweightKg	WeightClassKg	BestSquatKg	BestBenchKg	BestDeadliftKg	TotalKg	Wilks	average_Age	average_BodyweightKg	average_WeightclassKg	average_BestsquatKg	average_BestBenchKg	average_BestDeadliftKg	average_TotalKg	average_Wilks	median_Age	median_BodyweightKg	median_WeightclassKg	median_BestSquatKg	median_BestBenchKg	median_BestDeadliftKg	median_TotalKg	median_Wilks	mode_Age	mode_BodyweightKg	mode_WeightclassKg	mode_BestSquatKg	mode_BestBenchKg	mode_BestDeadliftKg	mode_TotalKg	mode_Wilks	min_Age	min_BodyweightKg	min_WeightclassKg	min_BestSquatKg	min_BestBenchKg	min_BestDeadliftKg	min_TotalKg	min_Wilks	max_Age	max_BodyweightKg	max_WeightclassKg	max_BestSquatKg	max_BestBenchKg	max_BestDeadliftKg	max_TotalKg	max_Wilks	STDEV_Age	STDEV_BodyweightKg	STDEV_WeightclassKg	STDEV_BestSquatKg	STDEV_BestBenchKg	STDEV_BestDeadliftKg	STDEV_TotalKg	STDEV_Wilks
M	Raw	25	Open	99.79	100	187.5	130	210	527.5	321.3	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90	182.5	137.5	272.5	550	396.44	15	50.47	52	60	40.82	92.5	54.43	52.67	62	172.37	140	457.5	347.5	374.21	1132.5	666.62	11.39579392	22.23463133	22.31423084	76.57137595	53.31736392	64.52342149	193.5447192	86.34501955
M	Raw	23	Novice	98.88	100	227.5	137.5	250	615	375.99	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	35	Novice	97.52	100	205	137.5	212.5	555	341.28	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	20	Novice	95.03	100	132.5	102.5	167.5	402.5	250.33	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	34	MPF	97.16	100	240	132.5	227.5	600	369.54	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	19	T3	99.56	100	277.5	150	265	692.5	422.2	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	29	Open	106.82	110	212.5	190	257.5	660	392.07	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	34	Open	106.59	110	182.5	140	227.5	550	326.96	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	29	Novice	106.82	110	212.5	190	257.5	660	392.07	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	29	Novice	105.23	110	125	120	227.5	472.5	282.13	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Single-ply	36	MPF	102.33	110	260	182.5	260	702.5	423.73	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	30	MPF	107.5	110	192.5	135	220	547.5	324.56	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	30	MPF	107.41	110	227.5	137.5	272.5	637.5	378.01	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	18	T3	102.29	110	207.5	125	205	537.5	324.25	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	23	Open	111.36	125	230	172.5	255	657.5	385.51	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	18	T3	122.56	125	237.5	125	237.5	600	343.32	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	20	Novice	113.17	125	132.5	102.5	167.5	402.5	234.9	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	27	Open	134.35	140	250	175	272.5	697.5	392.28	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	56	F-M4FX-X	85.5	90	68.04	43.09	102.06	213.19	188.47	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	31	F-OFRC-T	51.66	52	90.72	43.09	92.99	226.8	284.17	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	44	F-M1FRC-X	83.78	90	117.93	68.04	129.27	315.25	281.49	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	25	F-OFRC-U	58.74	60	83.91	47.63	124.74	256.28	290.48	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	60	F-OFR-U	67.31	67.5	120.2	95.25	138.35	353.8	361.83	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	60	F-M6FX-X	67.31	67.5	120.2	95.25	138.35	353.8	361.83	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	19	F-T3FX-X	81.92	82.5	115.67	68.04	149.69	333.39	301.15	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	25	F-OFRC-T	56.97	60	136.08	74.84	147.42	358.34	415.99	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	28	F-NFRC-X	72.94	75	120.2	54.43	151.95	326.59	316.05	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	42	F-OFR-U	58.97	60	136.08	92.99	158.76	387.82	438.23	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	42	F-M1FRC-X	58.97	60	136.08	92.99	158.76	387.82	438.23	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	27	F-NFR-X	58.06	60	90.72	65.77	147.42	303.91	347.61	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Raw	27	F-OFR-U	65.41	67.5	163.29	90.72	158.76	412.77	431.03	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
F	Wraps	30	F-OFRC-U	87.54	90	161.03	115.67	183.7	460.4	402.6	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	32	M-NFR-X	71.3	75	124.74	97.52	154.22	376.48	278.23	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	23	M-OFRC-U	73.75	75	149.69	136.08	167.83	453.59	327.06	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	24	M-NFR-X	81.65	82.5	165.56	149.69	190.51	505.76	340.94	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	20	M-NFR-X	70.99	75	156.49	111.13	199.58	467.2	346.41	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	22	M-OFR-T	74.75	75	161.03	127.01	210.92	498.95	356.36	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	23	M-NFR-X	79.92	82.5	181.44	115.67	226.8	523.9	357.89	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	25	M-OFR-T	66.09	67.5	165.56	161.03	229.06	555.65	435.81	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Raw	39	M-OFR-T	81.6	82.5	176.9	120.2	240.4	537.51	362.48	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
M	Wraps	32	M-OFRC-T	82.05	82.5	215.46	124.74	240.4	580.6	390.23	32.16606498	90.76877256	92.93140794	199.98596	133.8972101	214.6258909	526.9810108	363.0154152	28	88	90	192.5	136.79	226.8	532.5	363.57	25	99.56	90																													
